r,energy,steps
0.5,1.0746242500800722,120
0.6052631578947368,0.17852940348032195,120
0.7105263157894737,-0.4199832935547609,120
0.8157894736842105,-0.7734541450688857,120
0.9210526315789473,-0.9543871720741132,120
1.026315789473684,-1.0464601258993949,120
1.131578947368421,-1.0538510090237208,120
1.236842105263158,-1.0221818701976044,120
1.3421052631578947,-0.9486739784846789,120
1.4473684210526314,-0.9024409744448298,120
1.5526315789473684,-0.8102092592456124,120
1.6578947368421053,-0.7282793387458759,120
1.763157894736842,-0.6547007578174322,120
1.8684210526315788,-0.5854251278968855,120
1.9736842105263157,-0.5191785570992632,120
2.0789473684210527,-0.4612572442102171,120
2.1842105263157894,-0.41553021438350746,120
2.289473684210526,-0.35284723513121946,120
2.394736842105263,-0.3188455598143119,120
2.5,-0.25518222080521996,120
